age,gender,employment_type,monthly_income_ngn,loan_amount_ngn,loan_term_months,previous_loans,previous_defaults,repayment_history_score,savings_balance_ngn,business_age_months,daily_sales_ngn,debt_to_income_ratio,collateral_available,region,defaulted
33,Female,Casual,181871.04,377500.0,1,3,0,85.25,157869.3,31,0.0,2.0,Yes,South West,0
28,Male,Trader,88091.59,104300.0,9,5,0,72.84,50337.47,79,5050.01,0.1316,No,South South,0
45,Male,Salaried,36384.62,98300.0,9,1,0,100.0,31076.19,45,0.23,0.3002,No,South South,0
50,Female,Self-employed,351389.24,301000.0,12,7,1,86.29,435895.82,139,18070.96,0.0714,No,South South,0
63,Female,Self-employed,258712.23,144400.0,12,0,0,78.78,393171.36,46,6339.54,0.0465,No,North East,0
38,Female,Self-employed,206417.86,40500.0,12,2,1,74.98,214838.86,160,6181.24,0.02,No,South East,0
25,Male,Salaried,315553.44,343600.0,6,3,2,87.52,360961.5,47,0.05,0.1815,No,South West,0
57,Male,Salaried,314989.97,150400.0,1,1,0,97.38,501282.41,31,0.0,0.4775,Yes,North Central,0
48,Male,Salaried,204249.36,20000.0,3,2,1,65.88,259708.81,92,0.0,0.0326,No,South East,0
51,Female,Salaried,152584.36,182000.0,6,5,0,90.42,63283.68,2,0.86,0.1988,No,North Central,0
22,Female,Salaried,137251.47,250500.0,1,2,0,92.72,180507.92,43,0.0,1.8251,No,South West,1
32,Female,Casual,236646.9,213500.0,1,1,0,97.68,61949.78,65,0.0,0.9022,Yes,North Central,0
54,Male,Self-employed,446316.01,408700.0,3,0,0,93.94,121102.48,174,12925.24,0.3052,Yes,North East,0
57,Male,Self-employed,168354.15,199100.0,6,2,1,63.9,272564.21,132,8245.53,0.1971,Yes,North Central,0
38,Male,Trader,469969.2,618000.0,6,3,0,89.56,110407.58,27,12930.43,0.2192,No,South West,0
56,Male,Self-employed,229408.89,265300.0,12,2,1,77.64,325074.18,174,5275.72,0.0964,No,North West,0
58,Male,Salaried,230535.76,288600.0,6,1,0,99.24,268608.49,17,0.0,0.2086,No,South West,0
36,Male,Salaried,859437.41,357800.0,1,1,0,90.2,1113731.25,10,0.46,0.4163,No,South West,0
61,Female,Salaried,526998.49,638700.0,6,1,0,90.12,514173.85,94,0.0,0.202,No,South West,0
31,Female,Trader,535956.42,228000.0,6,3,0,92.17,697257.14,169,34231.55,0.0709,No,North East,0
29,Female,Self-employed,107179.82,179400.0,12,4,0,87.97,174185.99,67,6126.73,0.1395,Yes,South West,0
50,Female,Self-employed,748353.51,851600.0,6,3,0,100.0,953684.18,177,43474.9,0.1897,Yes,North Central,0
48,Female,Self-employed,170633.15,335700.0,3,3,2,84.21,98591.3,50,3849.09,0.6558,No,North Central,1
24,Female,Unemployed,155257.9,199800.0,9,4,1,93.54,236820.0,77,0.0,0.143,Yes,South South,0
57,Male,Self-employed,44231.86,72800.0,6,3,0,85.37,37141.86,37,1876.96,0.2743,No,South West,1
27,Female,Self-employed,222526.43,81600.0,6,4,0,96.46,69550.17,115,5567.12,0.0611,Yes,South West,0
56,Male,Self-employed,89012.5,148800.0,2,3,0,99.52,137396.84,149,3121.88,0.8358,No,South East,0
18,Male,Trader,234703.22,242700.0,6,4,0,86.82,171868.6,152,6021.85,0.1723,No,South South,0
56,Male,Trader,84600.44,20000.0,1,3,0,85.79,38953.33,75,3014.67,0.2364,No,South South,0
55,Male,Trader,579092.22,808900.0,9,5,1,72.94,640303.49,176,15519.42,0.1552,No,South South,0
55,Female,Salaried,257618.53,292500.0,3,2,0,83.77,436029.49,38,0.0,0.3785,No,South West,0
49,Male,Self-employed,792247.13,881000.0,2,3,1,88.28,1142406.44,113,19130.13,0.556,No,South West,0
40,Female,Casual,92572.42,122300.0,6,1,0,100.0,42960.84,29,0.63,0.2202,No,South South,1
51,Male,Self-employed,492711.28,109400.0,6,3,0,91.73,604070.57,5,17847.73,0.037,No,South East,0
31,Female,Unemployed,55767.64,102800.0,3,2,1,83.69,26205.25,11,0.0,0.6145,No,South West,1
55,Female,Self-employed,206067.94,156800.0,12,6,3,63.13,184498.41,137,6082.78,0.0634,No,South South,1
44,Male,Self-employed,119390.76,106700.0,9,2,0,100.0,33653.91,76,6897.95,0.0993,No,North West,0
40,Male,Self-employed,134529.71,20000.0,12,4,0,90.95,70808.61,54,7711.49,0.02,No,South South,0
42,Female,Self-employed,128667.84,304400.0,3,3,1,81.4,216713.52,132,5914.91,0.7886,No,North West,0
45,Male,Casual,99324.41,54700.0,6,1,0,93.1,79552.47,34,0.0,0.0918,No,South West,1
19,Female,Salaried,79373.09,20000.0,6,1,1,73.74,101140.56,72,0.27,0.042,Yes,North East,0
24,Male,Self-employed,135014.13,159000.0,6,4,0,95.87,104401.55,113,8292.96,0.1963,No,South East,0
29,Female,Trader,194100.35,210600.0,1,3,1,86.18,10269.49,172,12294.47,1.085,No,North Central,0
23,Female,Casual,383507.12,639900.0,3,4,1,76.24,433184.88,82,2.04,0.5562,No,South West,1
39,Female,Trader,218095.84,224800.0,12,5,1,85.68,161735.28,142,12945.88,0.0859,No,South South,0
50,Female,Unemployed,384217.19,641100.0,12,4,0,80.28,184947.07,54,0.0,0.139,No,North West,0
49,Female,Casual,68864.57,20000.0,2,2,0,87.33,25677.47,32,0.15,0.1452,Yes,South West,0
40,Female,Self-employed,135846.66,136000.0,1,5,0,94.68,115741.22,98,4322.76,1.0011,No,South East,0
59,Female,Casual,285747.93,376900.0,2,2,0,81.06,437487.16,96,0.0,0.6595,No,North West,0
45,Female,Unemployed,224984.35,434400.0,9,1,0,96.3,137870.25,81,0.0,0.2145,Yes,South South,0
21,Male,Salaried,102841.92,24900.0,3,1,0,91.84,101085.89,5,0.0,0.0807,No,South South,0
54,Female,Trader,330333.13,329400.0,9,3,0,96.07,44497.82,176,11387.67,0.1108,Yes,South West,0
45,Male,Self-employed,127437.91,152300.0,1,4,0,92.37,158255.56,65,6662.33,1.1951,No,South East,0
48,Male,Trader,108599.91,20000.0,9,1,0,92.85,145705.22,15,3886.16,0.0205,No,North East,0
45,Female,Salaried,247020.89,118500.0,12,2,0,75.76,166195.32,52,0.94,0.04,No,South West,1
44,Male,Trader,180723.26,244200.0,1,4,2,52.0,140073.04,157,10954.32,1.3512,No,North West,1
22,Female,Self-employed,128132.37,153200.0,12,6,1,81.27,21063.54,88,5062.05,0.0996,No,South West,0
44,Female,Trader,125335.27,194800.0,12,3,1,71.86,196638.72,89,3926.59,0.1295,No,South East,0
56,Male,Salaried,89800.36,49000.0,6,3,0,87.13,86125.51,29,0.0,0.0909,No,South West,0
32,Male,Trader,139173.38,226100.0,3,1,0,90.94,39035.71,38,3762.69,0.5415,Yes,North West,0
46,Male,Self-employed,367955.86,160900.0,6,0,0,91.59,470115.4,151,7965.98,0.0729,Yes,South West,0
19,Female,Trader,211011.93,318700.0,3,5,2,81.76,281626.74,54,4690.28,0.5034,Yes,South East,0
34,Male,Self-employed,335641.29,85300.0,12,1,1,85.64,128275.9,139,21807.14,0.0212,No,North West,1
38,Female,Salaried,251741.16,398200.0,6,2,0,89.37,200948.14,88,0.19,0.2636,Yes,North East,0
65,Female,Self-employed,120904.0,113000.0,12,2,1,73.08,94489.8,71,7075.48,0.0779,Yes,North Central,1
28,Female,Unemployed,61621.76,78800.0,6,4,0,100.0,40973.69,83,0.92,0.2131,No,South West,0
31,Male,Salaried,98543.84,106500.0,3,3,0,94.26,145539.88,7,0.0,0.3602,No,North East,0
37,Female,Trader,116355.9,228700.0,6,2,0,100.0,141571.43,167,3409.29,0.3276,Yes,North West,0
65,Male,Salaried,110650.65,79900.0,12,3,0,77.31,166862.0,57,0.75,0.0602,Yes,South West,0
58,Male,Trader,340569.7,33300.0,6,2,1,74.0,314819.02,136,15942.57,0.02,Yes,South East,0
19,Male,Salaried,338268.3,144100.0,6,4,0,91.13,468660.91,88,0.0,0.071,Yes,South West,0
29,Male,Self-employed,757996.39,898200.0,12,3,0,90.75,334082.41,53,44645.99,0.0987,No,South West,1
57,Male,Self-employed,109567.2,244600.0,6,2,0,99.45,56019.97,134,6288.06,0.3721,No,North Central,0
20,Female,Salaried,508415.11,448500.0,12,5,1,78.6,439520.09,77,0.0,0.0735,No,South East,1
59,Female,Self-employed,506376.54,221000.0,2,0,0,90.99,435693.52,81,30978.99,0.2182,No,South West,0
31,Male,Self-employed,154777.01,169500.0,12,2,0,93.91,18842.87,54,5174.39,0.0913,No,South East,0
62,Female,Self-employed,244879.89,106700.0,9,1,1,77.81,248883.57,61,7311.22,0.0484,No,South West,1
32,Female,Unemployed,403200.3,222200.0,2,1,1,74.29,30533.39,89,0.57,0.2755,Yes,North Central,1
38,Female,Self-employed,173236.18,207400.0,1,5,1,83.88,63829.68,139,4305.58,1.1972,Yes,North West,0
49,Female,Casual,164729.08,174600.0,3,3,0,89.95,93611.33,68,1.25,0.3533,No,South East,1
24,Female,Self-employed,119723.81,229400.0,9,0,0,93.28,171482.47,133,4997.35,0.2129,No,South West,0
44,Female,Salaried,38819.85,39200.0,6,1,0,100.0,14491.82,69,0.0,0.1683,No,North Central,0
42,Male,Salaried,188436.94,168200.0,3,2,0,100.0,130909.7,90,0.53,0.2975,No,South West,0
55,Female,Self-employed,113470.37,211100.0,6,1,0,97.28,126691.66,105,5169.08,0.3101,No,North East,0
65,Male,Self-employed,89476.88,111800.0,12,2,0,81.81,26565.13,27,3323.33,0.1041,No,North West,1
49,Male,Casual,236839.2,397900.0,2,2,0,91.99,40752.05,84,1.09,0.84,Yes,South East,0
37,Female,Trader,70077.65,20000.0,9,2,0,100.0,4315.64,141,2853.91,0.0317,No,South East,0
37,Male,Self-employed,303963.85,551100.0,12,4,1,76.3,498003.13,48,9792.62,0.1511,No,South East,1
38,Male,Self-employed,246483.83,506000.0,6,2,0,99.83,28404.77,146,9320.5,0.3421,No,South East,1
57,Male,Self-employed,138771.86,298000.0,12,4,1,84.73,156354.01,131,7267.21,0.179,No,South South,0
33,Female,Trader,172743.04,164400.0,6,0,0,89.07,9841.6,114,10556.45,0.1586,No,South West,0
26,Female,Salaried,83039.23,141500.0,9,2,0,100.0,117414.57,24,0.0,0.1893,Yes,South West,0
34,Female,Salaried,293147.81,333100.0,12,1,1,81.45,338575.14,81,0.0,0.0947,No,South West,0
19,Male,Self-employed,203312.38,94500.0,3,1,0,93.81,338855.14,40,8099.11,0.1549,No,South West,0
23,Male,Salaried,213398.08,312000.0,6,0,0,92.85,340291.23,19,0.99,0.2437,Yes,North East,0
22,Male,Trader,249431.82,179400.0,9,4,0,85.8,409719.23,64,12549.63,0.0799,No,South South,0
55,Male,Salaried,118556.17,308400.0,2,2,0,88.47,20936.11,31,0.0,1.3006,No,North West,0
52,Male,Salaried,67058.74,42700.0,6,1,0,86.84,68123.39,16,0.0,0.1061,No,South East,0
51,Male,Casual,335363.09,441200.0,9,3,0,100.0,429890.74,57,0.77,0.1462,No,North Central,0
40,Female,Unemployed,281638.36,347200.0,1,2,1,90.28,71552.0,86,0.0,1.2328,Yes,North West,0
52,Male,Self-employed,127099.93,119000.0,6,2,0,86.93,50266.65,52,3912.4,0.156,Yes,South West,0
25,Female,Self-employed,234833.91,380000.0,2,2,1,97.37,169896.92,15,11669.74,0.8091,No,South South,1
61,Female,Trader,407744.02,578900.0,2,4,2,75.38,591827.34,35,17696.53,0.7099,No,North East,1
42,Female,Salaried,377327.07,424800.0,6,4,0,89.5,526968.64,28,0.68,0.1876,No,South West,0
63,Male,Self-employed,124710.32,133900.0,1,2,0,97.72,174211.93,41,8002.51,1.0737,No,South West,0
25,Female,Salaried,68392.43,20000.0,6,2,0,89.23,34463.03,91,0.0,0.0487,No,South East,0
41,Female,Self-employed,76459.95,41100.0,1,5,2,77.87,100413.11,14,2367.26,0.5375,No,South South,0
51,Female,Unemployed,146985.65,167100.0,12,4,1,87.15,30300.7,41,0.0,0.0947,No,South West,1
41,Female,Trader,465663.37,96600.0,12,1,1,81.37,751996.52,6,24767.19,0.02,No,South East,0
39,Female,Unemployed,112108.52,183300.0,3,4,0,85.34,97394.48,45,0.78,0.545,No,North West,0
25,Male,Trader,122161.48,241600.0,1,1,0,93.55,150621.33,133,4404.28,1.9777,No,South South,1
36,Male,Trader,120537.95,131900.0,3,2,0,97.44,199685.74,161,5477.01,0.3648,No,North East,0
29,Female,Trader,127400.01,195100.0,1,8,1,92.78,93579.18,153,2771.43,1.5314,No,South East,1
32,Female,Trader,178691.24,284700.0,9,3,1,87.15,98432.49,133,11146.45,0.177,No,North West,1
50,Female,Self-employed,78329.5,20000.0,6,2,1,83.49,44685.04,155,4988.54,0.0426,Yes,North West,0
48,Female,Self-employed,364231.93,689300.0,6,0,0,88.74,73887.42,92,20940.16,0.3154,No,South East,0
47,Male,Self-employed,163828.99,65700.0,12,2,0,80.15,191093.06,161,6880.09,0.0334,No,North West,0
35,Male,Salaried,901801.41,1427500.0,12,2,0,82.15,1527207.9,50,0.0,0.1319,No,South South,0
64,Male,Self-employed,83942.81,136700.0,6,1,0,91.96,125115.39,83,1870.01,0.2714,No,North West,0
22,Female,Salaried,505915.6,926800.0,9,2,0,88.59,832413.71,95,1.57,0.2035,No,North West,0
34,Male,Self-employed,444669.52,517000.0,6,1,0,93.14,176932.11,27,9655.67,0.1938,Yes,South East,0
23,Female,Salaried,137739.23,165800.0,9,3,1,85.88,22671.73,75,0.0,0.1337,No,North Central,1
34,Female,Self-employed,139235.6,86400.0,2,6,0,98.39,70364.59,133,3496.59,0.3103,Yes,North Central,0
64,Male,Self-employed,98900.4,77800.0,3,1,0,77.58,104372.63,106,5555.5,0.2622,No,North East,0
35,Male,Salaried,99640.92,300300.0,3,3,0,100.0,125360.88,8,0.57,1.0046,No,South West,0
61,Male,Unemployed,179929.12,134800.0,2,2,0,96.74,241307.89,86,0.0,0.3746,No,South East,0
41,Male,Self-employed,182437.79,130600.0,6,1,0,96.03,23151.69,78,4400.29,0.1193,No,South West,0
51,Male,Self-employed,63524.52,20000.0,9,5,0,92.96,66800.09,114,2033.89,0.035,No,South West,0
39,Male,Salaried,799299.17,849800.0,6,1,0,92.04,389540.54,90,0.0,0.1772,No,South West,0
30,Female,Casual,152059.35,183900.0,12,2,0,100.0,73486.68,55,0.58,0.1008,No,North Central,0
54,Female,Trader,187842.69,205000.0,3,4,0,87.19,252287.05,55,7759.18,0.3638,No,South South,0
64,Female,Self-employed,119809.44,20000.0,12,3,0,96.15,182774.56,94,3977.23,0.02,No,North Central,0
30,Female,Salaried,151320.58,20000.0,3,3,0,100.0,156847.89,72,0.0,0.0441,No,North East,0
55,Female,Trader,142641.73,228500.0,3,2,0,95.33,11561.66,110,7855.12,0.534,Yes,South West,0
30,Female,Unemployed,179657.47,347000.0,2,5,2,76.33,106098.45,19,0.52,0.9657,No,South West,1
52,Male,Self-employed,178301.05,20000.0,3,1,0,84.17,285469.47,155,7444.07,0.0374,No,North West,0
55,Male,Salaried,303724.18,173900.0,2,0,0,99.79,326505.6,45,0.0,0.2863,No,North East,0
39,Male,Salaried,208648.25,20000.0,9,4,2,74.86,297633.53,50,0.65,0.02,Yes,North Central,0
53,Female,Salaried,284502.15,370800.0,3,1,1,77.76,238494.53,60,0.24,0.4344,No,South West,0
31,Male,Trader,178855.79,111400.0,1,2,1,87.28,140782.67,51,11632.92,0.6228,No,South East,1
21,Female,Unemployed,209195.87,345900.0,3,3,1,76.57,201674.84,74,0.0,0.5512,Yes,North West,1
22,Female,Unemployed,153870.01,252800.0,9,2,1,96.22,221842.93,49,1.67,0.1825,No,North Central,1
39,Female,Casual,345495.45,473900.0,6,2,0,100.0,557295.11,70,0.34,0.2286,No,South West,0
61,Female,Salaried,221996.46,190500.0,2,1,0,89.79,206843.57,17,1.14,0.4291,Yes,South South,0
24,Female,Unemployed,162423.67,205800.0,1,3,1,87.27,264706.99,67,2.18,1.2671,No,South West,1
39,Male,Self-employed,159304.15,239900.0,9,1,0,92.99,213960.27,88,6227.98,0.1673,No,North West,0
51,Male,Self-employed,167662.21,270700.0,9,3,1,76.02,223119.51,174,7930.33,0.1794,No,South South,0
27,Male,Trader,183597.42,49200.0,6,2,0,100.0,295349.58,168,4699.52,0.0447,Yes,South West,0
52,Female,Salaried,173525.08,127600.0,6,1,0,92.01,48875.18,20,0.0,0.1226,No,North West,0
32,Male,Casual,125174.63,242000.0,3,2,0,98.28,16341.99,73,2.12,0.6444,Yes,North Central,0
56,Male,Unemployed,295935.7,302600.0,6,1,0,100.0,73131.9,82,0.33,0.1704,No,South South,0
45,Female,Trader,308340.98,267000.0,9,3,0,97.69,303574.65,105,14687.87,0.0962,No,North Central,0
44,Male,Casual,573904.95,671500.0,9,1,0,95.46,842116.37,67,0.0,0.13,No,South South,0
26,Female,Self-employed,121583.05,384500.0,6,3,1,76.08,16486.09,49,2925.98,0.5271,No,North West,0
40,Female,Salaried,277589.12,164300.0,9,3,1,77.24,247067.03,43,0.0,0.0658,Yes,South South,1
59,Female,Casual,52040.26,20000.0,6,4,0,93.05,56393.74,25,0.0,0.0641,No,South South,1
18,Female,Trader,308534.86,501900.0,9,2,1,77.24,325604.46,77,13070.72,0.1807,Yes,South East,0
54,Female,Casual,69838.01,166000.0,9,1,0,98.76,37003.85,38,0.08,0.2641,No,South South,0
41,Female,Salaried,94930.18,109100.0,9,3,0,86.38,42602.67,73,0.0,0.1277,No,North Central,0
52,Female,Self-employed,223386.47,200500.0,2,2,0,88.57,19505.14,84,13591.54,0.4488,No,North Central,0
49,Male,Self-employed,120179.02,20000.0,3,1,0,92.94,37614.81,177,7825.22,0.0555,Yes,South South,0
38,Female,Trader,109950.15,20000.0,3,1,0,94.67,7844.62,156,5313.68,0.0606,No,South East,0
32,Female,Casual,131344.87,33300.0,6,2,0,94.41,112343.79,22,1.06,0.0423,No,South West,0
48,Female,Unemployed,289227.55,415000.0,6,1,0,92.63,330819.95,56,0.66,0.2391,No,North Central,0
24,Male,Self-employed,98157.97,157600.0,9,2,0,88.51,103851.71,106,5918.28,0.1784,Yes,South South,0
46,Male,Self-employed,173774.1,313000.0,6,1,0,98.06,214584.84,152,5093.64,0.3002,No,North West,1
22,Male,Salaried,140728.19,245100.0,6,2,0,100.0,26203.22,40,0.23,0.2903,No,North Central,0
49,Female,Salaried,306704.84,172300.0,9,4,2,69.75,301913.96,46,0.87,0.0624,No,North East,1
48,Female,Self-employed,312344.26,428200.0,3,3,1,75.8,120616.21,14,8819.5,0.457,No,South South,0
22,Male,Trader,54599.44,20000.0,3,1,1,64.04,60881.35,154,2149.79,0.1221,No,South South,1
54,Female,Self-employed,355056.87,244500.0,3,1,0,100.0,490964.19,73,21299.77,0.2295,Yes,South West,0
37,Male,Self-employed,121021.17,181500.0,9,5,0,92.78,133402.71,16,3168.72,0.1666,No,North East,0
55,Male,Trader,209882.28,81800.0,1,3,0,100.0,147361.73,79,6121.93,0.3897,Yes,North Central,0
19,Female,Casual,97774.73,181000.0,3,3,1,92.7,67235.44,52,0.0,0.6171,No,South South,0
26,Male,Salaried,229108.19,118700.0,3,0,0,99.63,222648.89,26,1.01,0.1727,Yes,North West,0
41,Male,Self-employed,945140.57,1591100.0,6,3,1,87.92,1438788.86,14,27242.27,0.2806,No,South East,0
27,Female,Trader,195510.57,167800.0,12,2,1,89.1,221536.11,20,12124.43,0.0715,No,South West,0
33,Female,Trader,133493.91,55200.0,12,1,0,92.45,28295.9,13,5421.86,0.0345,No,South West,1
